Kinetic_Energy;Electron.Stp.Pow.;Nuclear.Stp.Pow.;Total.Stp.Pow.;CSDA_Range;Projected_Range;Detour_Factor
MeV;MeV cm2/g;MeV cm2/g;MeV cm2/g;g/cm2;g/cm2;g/cm2
1.50E+03;1.70E+00;1.63E-04;1.70E+00;6.88E+02;6.87E+02;0.9985
2.00E+03;1.67E+00;1.24E-04;1.67E+00;9.87E+02;9.85E+02;0.9986
2.50E+03;1.66E+00;1.01E-04;1.66E+00;1.29E+03;1.29E+03;0.9988
3.00E+03;1.67E+00;8.48E-05;1.67E+00;1.59E+03;1.59E+03;0.9989
4.00E+03;1.69E+00;6.48E-05;1.69E+00;2.18E+03;2.18E+03;0.999
5.00E+03;1.72E+00;5.26E-05;1.72E+00;2.77E+03;2.77E+03;0.9991
6.00E+03;1.75E+00;4.43E-05;1.75E+00;3.35E+03;3.34E+03;0.9992
7.00E+03;1.77E+00;3.84E-05;1.77E+00;3.92E+03;3.91E+03;0.9993
8.00E+03;1.79E+00;3.39E-05;1.79E+00;4.48E+03;4.47E+03;0.9993
9.00E+03;1.81E+00;3.03E-05;1.81E+00;5.03E+03;5.03E+03;0.9994
1.00E+04;1.83E+00;2.75E-05;1.83E+00;5.58E+03;5.58E+03;0.9994
